TimeStamp,Left_Pupil_Diameter,Right_Pupil_Diameter
4418812860,3.25445600,4.50183100
4418821192,3.22747800,4.52006500
4418829523,3.19674700,4.41293300
4418837855,3.15988200,4.39996300
4418846186,3.20700100,4.39975000
4418854518,3.16326900,4.40194700
4418862849,3.14575200,4.38542200
4418871181,3.13887000,4.37033100
4418879512,3.12164300,4.30339100
4418887844,3.14929200,4.35002100
4418896175,3.16172800,4.39535500
4418904507,3.07664500,4.33902000
4418912838,3.08267200,4.31063800
4418921170,3.05346700,4.29455600
4418929501,3.12841800,4.29635600
4418937833,3.07366900,4.21566800
4418946164,2.98695400,4.22462500
4418954496,3.07220500,4.18139600
4418962828,3.00323500,4.12631200
4418971159,2.91827400,4.21322600
4418979491,2.97001600,4.13067600
4418987822,2.95550500,4.16870100
4418996154,2.95172100,4.09991500
4419004485,2.98771700,4.04803500
4419012817,2.93440200,4.04165600
4419021148,2.95092800,4.10325600
4419029480,2.88855000,4.05993700
4419037811,2.96197500,4.03285200
4419046143,2.90159600,4.04119900
4419054474,2.97715800,4.05973800
4419062806,2.95175200,4.08123800
4419071137,3.00888100,4.10142500
4419079469,2.96417200,4.04382300
4419087800,2.94380200,3.98756400
4419096132,2.85507200,3.99981700
4419104463,2.87011700,3.97290000
4419112795,2.83671600,4.02970900
4419121126,2.92430100,3.98547400
4419129458,2.82434100,3.98199500
4419137790,2.83224500,3.99516300
4419146121,2.97489900,3.99586500
4419154453,2.91380300,3.95533800
4419162784,2.86778300,4.02038600
4419171116,2.96000700,3.97737100
4419179447,2.90345800,4.00323500
4419187779,2.89192200,4.02781700
4419196110,2.89357000,4.04737900
4419204442,2.89733900,4.00042700
4419212773,2.99987800,4.03491200
4419221105,2.89274600,4.05862400
4419229436,2.98037700,4.05511500
4419237768,2.94891400,4.05358900
4419246099,2.95697000,4.08786000
4419254431,2.99520900,4.03172300
4419262762,2.95439100,4.06887800
4419271094,2.96705600,4.07627900
4419279425,3.07861300,4.05900600
4419287757,2.94610600,4.06510900
4419296089,3.01815800,4.06050100
4419304420,3.00618000,4.06666600
4419312752,3.01632700,4.09155300
4419321083,2.91563400,4.06332400
4419329415,2.90719600,4.06060800
4419337746,2.98925800,4.03990200
4419346078,3.00357100,4.06115700
4419354409,3.04835500,4.05806000
4419362741,2.97126800,4.06570400
4419371072,2.97306800,4.11557000
4419379404,2.97528100,4.09736600
4419387735,2.95459000,4.12468000
4419396067,2.96649200,4.10849000
4419404398,3.01953100,4.09007300
4419412730,2.96899400,4.10586500
4419421061,2.99791000,4.04026800
4419429393,2.89747600,3.90808100
4419437724,2.90802000,3.85968000
4419446056,2.95695500,3.80656400
4419454387,2.96473700,3.77241500
4419462719,2.93885800,3.82936100
4419471051,2.96795700,3.89468400
4419479382,2.95860300,3.92958100
4419487714,3.01324500,3.91455100
4419496045,3.01374800,3.92541500
4419504377,2.94570900,3.85890200
4419512708,2.98695400,3.94926500
4419521040,3.07313500,3.95071400
4419529371,2.93705700,3.95027200
4419537703,2.92909200,3.96269200
4419546034,2.99893200,4.04354900
4419554366,3.04420500,3.94323700
4419562697,3.03085300,4.04980500
4419571029,2.91624500,4.04298400
4419579360,3.01290900,4.02447500
4419587692,3.03030400,4.12866200
4419596023,3.05441300,4.10536200
4419604355,3.02055400,4.08721900
4419612686,3.02616900,4.02122500
4419621018,3.04861500,4.04176300
4419629350,3.03533900,4.06059300
4419637681,3.16804500,4.12220800
4419646013,3.27059900,4.15876800
4419654344,3.40457200,4.10752900
4419662676,3.37193300,4.15274000
4419671007,3.29742400,4.17124900
4419679339,3.23550400,4.27586400
4419687670,3.44773900,4.22433500
4419696002,3.43948400,4.27000400
4419704333,3.37701400,4.23594700
4419712665,3.38740500,4.22950700
4419720996,3.25608800,4.27214100
4419729328,3.22723400,4.21379100
4419737659,3.33482400,4.24833700
4419745991,3.16667200,4.27633700
4419754322,3.04489100,4.21536300
